"bookName","author","series","summary","rating","price"
"活好：每個人都可以找到和自己呼吸合拍的生活","黃惠如","N/A","在這不安的世界裡，你需要一個忠誠的粉絲，無論多糟，都支持你，那就是你自己。　　活好，才有擔當做自己，活出不逃避的人生。　　大疫情讓世界倍速快轉，追不到的財富自由，愈來愈少的睡眠、愈來愈重的體重，日子過得凌亂落魄。　　有時候，太快是一種病，找到和自己呼吸合拍的節奏，日子才能活好。　　暢銷書《慢老》作者黃惠如最新作品《活好》，在每一個浮躁不安的當下，給我們明朗溫暖的安慰。　　不用力過猛，也不懶散荒廢，也是瑜伽老師的黃惠如提醒，找到呼吸順暢的節奏，踏實走好每一步，再坦然面對結果。畢竟《哈達瑜伽之光》講得明白：「心在哪裡，呼吸就在哪裡；呼吸在哪裡，心就在哪裡。」　　活好是一種清醒。向死而生，知道生命有截止期限（deadline），用餘生去發現對自己真正有價值的事，不要虛假的成功，成為想成為的人。　　活好是一種執行。發現對自己有價值的事之後，為自己負責，不拖延，日日實踐，不用等到「如果有一天」","⭐⭐","NT$259 TWD"
"我這一代人（新版）","胡晴舫","胡晴舫作品","「我以為，現代性會是我們的巨大翅膀。」　　如果每一個人類都有他的神祇，那台灣人的神祇是什麼？　　胡晴舫這個世代的台灣人尋找到答案了嗎？　　「這是一個台灣「現代性孩子」的視野──　　從台北到上海到北京，甚至遠及斯里蘭卡，　　胡晴舫一邊觀察一邊省思，用一種她獨有的雋永而帶哲理性的文字，　　為她這一代台灣人的心路歷程寫下新的見證。」──李歐梵　　＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝　　這一次，她把鏡頭轉向了自己所代表的台灣中生代，這一代人成長於七、八○年代迅速現代化的台灣，「在我人生二十到三十歲的黃金時光，我的台灣努力要成為一個自由的象徵、文化的搖籃；最重要的，一個現代的社會。」　　而身為一個台灣人，身上所扛負的政治符號與國族糾葛未免不是一個蛇髮女妖的首級。隨便讓她炯如火炬的雙眼看上一眼，都得當場石化，不得動彈。面對這樣巨大的歷史包袱，胡晴舫以為，「現代性會是我們的巨大翅膀，幫助我們飛高","N/A","NT$208 TWD"
"複利領導：簡單的事重複做，就會有力量","賴婷婷","N/A","主管必修的27堂課──一個人發光，也要讓團隊一起閃耀！不只要領導A咖，也要能帶動C咖，職場中，沒有奇蹟、只有累積，當你成為更好的自己，就會遇見更好的夥伴。持續做不起眼的小事，終能創造你的差異化優勢！由作者賴婷婷全書親聲朗讀。領導力教練賴婷婷的客戶包含許多知名企業，如鮮乳坊、cama café、KKday等。她曾任新加坡商企業總經理，後來加入富錦樹集團擔任執行長，獲頒《經理人月刊》年度MVP經理人獎，也成功啟動並完成富錦樹的天使輪募資。賴婷婷透過上萬次一對一教練與顧問的案例、親身的領導與管理經驗，分享如何釐清個人與團隊的發展痛點，以維持不斷前進的動能，並協助正在當主管或想當主管的人打磨領導力。在現今如此混亂、快節奏的職場中，昨日能解決問題的方法，今日已經不夠有效。你的優缺點在劇烈的波動下，會更加顯而易見。本書將協助你爬出職場的負面漩渦...","⭐⭐⭐⭐⭐","NT$277 TWD"
"餃子與味噌：流動的日本味","胡川安","N/A","日本料理的深度文化解析看見和食的深刻歷史底蘊「餃子」源自中國東北的傳統食物，如今是日本料理的代表之一「味噌」是日本料理歷久彌新的精髓，也是風靡世界的健康調味品從餃子到味噌，都有著日本料理與外界文化交流的豐富痕跡日本料理從來不是僵固的，作者胡川安將帶領讀者看見它們背後的歷史品嘗最道地，也最多元的流動日本味。牛丼與和牛：明治維新後為了追求富國強兵而打破千年禁忌才開始的牛肉飲食咖哩：把「帶有奇怪臭味的醬汁」改造成日本庶民料理，還是海軍的招牌菜餃子與天津飯：源自二戰老兵回憶，是中國不存在的中華料理日式炸雞：作法來自中國、原料來自美國，在日本碰撞而出的獨特料理日本啤酒：象徵文明進步的飲料，喝越多越文明昆布、山葵與味噌：流傳千年，現代日本料理的精髓與靈魂...","N/A","NT$450 TWD"
"穿越福爾摩沙1630-1930：法國人眼中的台灣印象","龐維德","不分類","★以法國第一手史料、法國視角，重現鮮為人知的台灣地方史！★近六十張來自法國國家圖書館的珍貴歷史照片完整公開！探索原住民部落的外交官、充滿宗教熱情的傳教士、雄心壯志的帝國軍官、到東方尋找機會的傭兵……這些異鄉人為台灣記錄了高潮迭起的歷史，其中寫滿悲劇的不確定，激盪著人類的衝突與意志的撞擊。從士兵的隨手筆記到水手的航海日誌，從神父的傳教紀錄到報刊的評論文章透過法國觀點的奇詭稜鏡，凝視一段四百年前開始的傳奇……　　＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝　　十七至二十世紀是帝國主義列強競逐世界的時代，也是台灣躍上世界史舞台，成為全球焦點的關鍵時期；當台灣被稱為福爾摩沙時，是一個主要居住著平埔族原住民，一個臣服於一家荷蘭貿易公司、與日本從事鹿皮買賣的島嶼，本書便匯集了一六三○年到一九三○年之間記錄台灣的法文歷史文本，以這些異鄉人的視角重新回顧台灣史。　　█書寫背景多元的法國人眼中的台灣印象","⭐⭐⭐⭐⭐","NT$280 TWD"
"激盪時代：二十世紀歐洲百年史（卷二）1950-2017","伊恩‧克蕭","Master’s","走過地獄之後，故事尚未完結從1950年到2017年的近七十年間歐洲人將經歷一段時而高峰、時而低谷宛如雲霄飛車般的激盪之旅******霍布斯邦《極端的年代》、東尼．賈德《戰後歐洲六十年》之後這個世代不可錯過的歐洲史經典作品英國歷史學家、希特勒研究權威伊恩．克蕭20世紀史詩二部曲《地獄之行》、《激盪時代》　　一個鐵幕壟罩、核戰陰影、經濟起伏與移民危機的時代。　　1950年，歐洲正從歷史上最慘烈的黑暗年代甦醒過來。戰爭雖然結束了，但仍處處可見戰爭留下的痕跡。城鎮可以很快重建，經濟活動可以恢復，人們可以重拾過去的生活，但精神...","⭐⭐⭐⭐⭐","NT$616 TWD"
"中華秩序：中原、世界帝國，與中國力量的本質","王飛凌","八旗中國觀察","為什麼中華人民共和國，或許叫「秦漢人民共和國」才更恰當？用中華夢和馬克思主義包裝的中國，和用儒家裝飾的中國，本質上都是法家的「秦漢式政體」（Qin-Han Polity）。中國權貴為什麼對「中華秩序」（The China Order）鴉片般上癮？為什麼「中華秩序」又強大又脆弱？　　正在崛起、但在美國貿易制裁下似乎顯得是隻紙老虎的中國，它的本質是什麼，它的力量真正代表著什麼，以及國際社會應該如何因應？「整個世界秩序的未來、以及人類文明的發展方向，都有賴於這個判定 。」　　然而來自西方的主流分析工具，如現實主義、共產主義或者法西斯主義看起來並不大適用於中華人民共和國。修希底德陷阱、中國崩潰論、百年馬拉松、G2、這些看法都觸及到了某種重要的問題，然而無法從根本上理解今天中共之種種作為──比如無情地汲取和剝奪內部社會、發動一...","⭐⭐⭐⭐½","NT$322 TWD"
"地球之島","羅智成","N/A","只有一個人的地球我孓然佇立在月亮照射的赤道上退潮時才露出海面的書桌前本詩集分為兩輯：第一輯為「新絕句」的「地球之島」，充滿了詩人對於「後文明」或「泛生物」、「非文明」的想像。第二輯為「十二月令圖」的「月曆」，是根據當月在台灣這塊島嶼上長期積累的經驗與感受寫一首詩，再加以象徵化、季節化、月令化；是非常在地、非常本土的，而詩人更試圖把個人的感受或對當代文明的疏離，刻鏤在更為恆久的，這座島嶼的氣候、地形或更具普遍性的自然、人文環境的基本特質上。【作者簡介】羅智成詩人、作家、媒體工作者。台大哲學系畢業，美國威斯康辛大學東亞所碩士、博士班肄業。著有詩集《畫冊》、《光之書》、《泥炭紀》、《傾斜之書》、《寶寶之書》、《擲地無聲書》、《黑色鑲金》、《夢中書房》、《夢中情人》、《夢中邊陲》、《地球之島》、《透明鳥》、《諸子之書》、《迷宮書店》、《問津─時間的支流》等，散文或評論《亞熱帶習作》、《文明初啟》、","N/A","NT$196 TWD"
"解讀素書：一位深藏不露奇人，一本治國興邦奇","何清遠","N/A","黃石公本為秦漢時人，後得道成仙，被道教納入神譜。據傳黃石公是秦末漢初的五大隱士之一，排名第五。","⭐⭐⭐⭐⭐","NT$300 TWD"
"Animal Farm","George Orwell","N/A","""Animal Farm"" is a novel about a group of animals who take control of the farm they live on.The animals get fed up of their master, Farmer Jones, so they kick him out. Once they are free of the tyrant Jones, life on the farm is good for a while and there is hope for a happier future of less work, better education and more food. However, trouble brews as the pigs, Napoleon and Snowball, fight for","⭐⭐⭐⭐½","NT$15 TWD"
"艾泽凯亚","Lisa Henry","N/A","为摆脱被家人当商品贩卖的命运，年轻的Omega狼人艾泽凯亚只身逃往旧金山，过着艰难却自由的独立生活。直到某天，艾泽凯亚在热潮期被流浪Alpha追逐，继而误闯其他狼群领地。在被该狼群年轻的头狼Alpha帕克救下的同时，也被做了标记，之后对方更是将他直接掠走。等待艾泽凯亚的，依然是被Alpha蹂躏的可悲宿命吗？原文标题：Ezekiah作者：Lisa Henry译者：林想睡校译：豆花，乖得很修订：师傅封面设计：烤米排版：腐腐de晸语言：简体中文","⭐⭐⭐⭐⭐","NT$60 TWD"
"The White Album","Joan Didion","N/A","New York Times Bestseller: An “elegant” mosaic of trenchant observations on the late sixties and seventies from the author of Slouching Towards Bethlehem (The New Yorker).In this landmark essay collection, Joan Didion brilliantly interweaves her own “bad dreams” with those of a nation confronting the dark underside of 1960s counterculture.From a jailhouse visit to Black Panther Party cofounder","⭐⭐⭐⭐","NT$477 TWD"
"易經的人生智慧","曾仕強","N/A","易經是中國的古老學問，更是中國哲學思想的源頭。 易經是古人生活經驗的智慧菁華；看懂了《易經》也就看懂了人生。 揭開易經的神秘面紗，讓您不必求神問卜，也能成為命運的主人！廿一世紀，是《易經》重新站上觀念思潮舞台的世紀。隨著科學與知識的數位化快速發展，在複雜現象中找到簡易的原則與道理，已成為知識份子努力的目標。曾仕強教授以獨步全球的《易經》解析觀點，讓您輕輕鬆鬆掌握《易經》簡易、萬變的原則，積極管理變化萬千的人生。播講介紹：曾仕強教授，英國萊斯特大學管理哲學博士，曾任交大教授、師大教授。是「中國式管理」創始人，中國孔子基金會學術顧問，中國中央電視台百家講壇《經營之神胡雪巖的啟示」、《易經的奧秘》主講人，東方衛視《易經的智慧》主講人，曾教授學貫古今，數10年來醉心於中華文化和西方現代管理哲學之研究，在國學、企管、哲學、教育等諸多領域上，皆有極高深的造詣。章節名稱：1.趨吉避凶→持正向善","⭐⭐⭐⭐⭐","NT$1,200 TWD
NT$948 TWD"
"欲愛書：寫給Ly’s M（20週年）","蔣勳","N/A","美——從自己的身體解嚴開始《欲愛書》探索自己的身體，探索所愛的人的身體蔣勳跨世紀最私密的感官書寫，最孤獨動人的愛情故事。十二封手寫信，只給某一個特定的人的話語；允諾在一千年交界的分手時刻，用古老的書寫方式，記認彼此肉身的緣分、細節、體溫，記憶「欲愛」時的狂喜與傷痛……歷時一年的流浪、思念，終於完成這本告別之書。你相信嗎？欲望和愛的真正幸福，來自節制，而並非放縱。——蔣勳本書特色★ 蔣勳精選新近畫作：人體素描、油畫共四張放入本書中，呈現另一種肉身書寫藝術。★ 新增「欲愛書二十年」，蔣勳新版序手寫稿。以及一篇「叫做亞諾的河流」手稿。從手寫的文字裡，看得到書寫者的溫度與情緒。★ 本書是蔣勳最私密的情書，談欲望、談愛，陪伴年輕手機一代的讀者，探索肉身與心靈的功課。放逐漫走的吟遊詩人，譜出世紀末最後的懺情書！每個人心底都有一首無題詩，難以言明。每個人心中都有一本愛欲書，無法描繪，不可道破","N/A","NT$245 TWD"
"Evidence Guided","Itamar Gilad","N/A","Research shows that most of what we build creates little or no value for our users and the business. To break away from this harsh reality, you need to adopt a different system, one that combines human judgment with evidence. Using evidence effectively flips the odds in our favor: it boosts outcomes and reduces waste; it improves decision-making, alignment, and empowerment, and reduces battles of","⭐⭐⭐⭐⭐","NT$284 TWD"
"掌握人的煩惱就大賣！惡魔行為經濟學：驅動風潮熱銷現象令消費者心動的40條行動法則","松本健太郎","TOP","吃到飽、輕鬆減肥、瘋彩券、假新聞……為什麼會受歡迎？因為背後都隱藏了惡魔心理。　　行銷理論╳行為經濟學╳數據科學　　想參透大賣、引發風潮的密碼必讀！　　洞悉熱銷與風潮背後的惡魔面，讓「顧客」心動的40條法則！　　營業人員、商品開發人員、廣告公關人員、行銷人員絕對不可錯過的一本書！　　☆☆出版後立刻再版！超有趣、簡單易懂的行為經濟學，立刻引爆日本社群媒體討論話題！☆☆**　　看透人類的惡魔面！**　　◆「漂亮的場面話」比「真心話」容易讓人接受的理由　　◆想吃「超大份食物」卻點了「沙拉」的謊言心態　　◆愈是批判，愈是強化對方想法的「逆火效應」　　由話題數據分析師闡明受到矚目以及引發風潮的「惡魔法則」！**　　●解答人類的「不理性行為」，帶你深度了解「人心」！**　　能夠暢銷大賣的商品，一定有打動人們購買的理由。本書作者松本健太郎告訴你，熱銷商品的祕決就是掌握...","⭐⭐⭐⭐½","NT$238 TWD"
"黃帝內經（第八卷）","黃勇","N/A","《黃帝內經》是我國歷史上最重要的一部醫書，已傳承了兩千多年，被歷代醫學家視為“中醫之祖”。全書分為《素問》《靈樞》兩部分，共162篇，全面、系統地闡釋了中國古人對人體機能的認識，是中醫的根本經典。至今已經被翻譯成10余種語言，受到世界各國的重視。養生專家們無一例外地對《黃帝內經》推崇備至，因為這本書是中國養生方法的根源。書中首次提出健康靠“養”不靠“治”的思想，通過“保養”和“補養”的方法實現長壽的目的，即根據環境的變化，通過飲食、按摩、針灸、拔罐、刮痧等方法，啟動人體能量，自發調整氣血運行和臟腑功能，不吃藥、不開刀，輕鬆治病。","N/A","NT$60 TWD"
"El Cirujano","Tess Gerritsen","Rizzoli & Isles","Un asesino silencioso se desliza en las casas de las mujeres y entra en las habitaciones mientras ellas duermen.La precisión de las heridas que les inflige sugiere que es un experto en medicina, por lo que los diarios de Boston y los atemorizados lectores comienzan a llamarlo ""el cirujano"". La única clave de que dispone la policía es la doctora Catherine Cordell, víctima hace dos años de un crimen","⭐⭐⭐⭐⭐","NT$130 TWD"
"The Works of the Right Honourable Edmund Burke (Complete)","Edmund Burke","N/A","THE FIRST ADVERTISEMENT TO THE READER.[1] The late Mr. Burke, from a principle of unaffected humility, which they who were the most intimately acquainted with his character best know to have been in his estimation one of the most important moral duties, never himself made any collection of the various publications with which, during a period of forty years, he adorned and enriched the literature","N/A","NT$150 TWD"
"Stubborn Attachments","Tyler Cowen","N/A","Growth is good. Through history, economic growth, in particular, has alleviated human misery, improved human happiness and opportunity, and lengthened human lives. Wealthier societies are more stable, offer better living standards, produce better medicines, and ensure greater autonomy, greater fulfillment, and more sources of fun. If we want to continue on our trend of growth, and the","N/A","NT$300 TWD"
"Maximum Achievement","Brian Tracy","N/A","Brian Tracy is one of the world's leading authorities on success and personal achievement, addressing more than 100,000 men and women each year in public and private seminars. In Maximum Achievement, he gives you a powerful, proven system -- based on twenty-five years of research and practice -- that you can apply immediately to get better results in every area of your life.You learn ideas,","N/A","NT$60 TWD"
"The Art and Practice of Ancient Hindu Astrology - Part Two","James Braha","N/A","In Part Two of this highly readable teacher/student dialogue text, James Braha continues teaching his private pupil Hindu/Vedic astrology. The author addresses every question an enquiring student could ask, while giving knowledge-hungry readers the sense they are in the room at every moment. Part Two includes: How to handle inordinately confusing horoscopes. Two full classes on subtleties and","⭐⭐⭐⭐⭐","NT$300 TWD"
"活著的每一天：譚美．達克沃絲回憶錄","譚美‧達克沃絲","N/A","***活著的每一天，都是實實在在的恩賜美國聯邦參議員譚美．達克沃絲出生於泰國，成長於東南亞。兒時的家庭雖然富裕，父母的跨國婚姻卻不被長輩認同，讓她母親備受家人的羞辱。泰美混血的她，因為臉上的雀斑與高壯的體格，更成為同儕訕笑的對象。她從小勤學苦讀，但重男輕女的父親認為，女孩子只要幫忙做家務就好。她沒有因此放棄自己，凡事全力以赴、樣樣要得第一，希望因此能聽到父親的一聲讚美。中學時代的譚美，因為父親失業，一度得靠拾荒、領取救濟度日。貧困讓她深刻體會弱勢的絕望，也意識到社會救助系統的重要。當2004年她駕駛的直昇機被飛彈擊落，她成為伊拉克戰爭中第一位雙腿被截肢的女兵。她對此從無怨言，反而深深感謝那些冒著生命危險救她一命的同袍弟兄。46歲那年，經過無數的嘗試，克服了種種生理困難，譚美終於成功生下第一胎。日後她更將成為美國史上第一位在任期內懷孕生產的參議員。然而，她曾被一個帶有意識形態偏見的醫生蒙蔽","N/A","NT$363 TWD"
"健身，也健心：傳奇教練丹約翰的人生與肌力訓練講堂","丹．約翰","Strength & Conditioning","這些話你以前都聽過，但你有把它們內化嗎？肌力與體能傳奇教練丹．約翰最新作品，從心理與訓練面雙管齊下，讓你在適能、健康、長壽、簡單肌力上，找到自己的目標、定位與方法。**　　●翻譯：王啟安老師——國立台灣大學口筆譯講師，資深肌力與體能教練。　　●專文推薦：何立安博士——怪獸肌力及體能訓練中心總教官。**　　這是一本教你訓練的書，也是一本教你如何過好人生的書。　　書中講述了訓練的「概念」，當然有一些課表、一些技術，對你自己的訓練絕對大有幫助。　　除此之外，丹還要講的是，如何從日常生活、從生活態度、從教學與計畫上改變，或者說認清自己。　　本書共有58篇作者丹．約翰將其人生經歷與訓練教學心得融會貫通之後，精煉出來的篇章，你可以看到，他以詼諧的口吻，講述適能、健康、長壽、簡單肌力等各個面向你應該知道、理解，然後需要進一步內化的觀念，像是：　　◎起點不重要，重要的是終點。　　◎人生...","⭐⭐⭐⭐½","NT$322 TWD"
"孺子帝：卷一 皇座上的囚徒","冰臨神下","New Black","與《盜墓筆記》、《瑯琊榜》、《甄嬛傳》、《步步驚心》╲ 同列百大《2017貓片．胡潤原創文學IP價值榜》原著小說 ╱　　✎　　靈感源於黃仁宇的名作《萬曆十五年》　　何謂名、何謂權？有名無權，有權無名是什麼？　　皇帝是君權神授，還是人力苦心營造？　　✎　　一部以架空歷史為背景　　探討名實關係、深究權力的權謀宮鬥小說　　✎　　第一人稱視角、情境體驗式、人物群像精妙　　謀略與人物心理成長小說**　　│關於小說背景│**　　鑽營權術、獨攬大權的太后；唯命是從、陽奉陰違的太妃；忍辱負重、大智若愚的王美人，後宮中的一切權謀與計算，竟牽涉到一國政局的穩定。在非生即死的時局下，是共生共死、還是只有一人能活到最後？　　在位四十一年的大楚天子武帝駕崩後，隨著武帝代表的大楚盛世驟然轉進動盪，此後四年間接連三位繼位皇帝駕崩。把持朝政的皇太后垂簾聽政，現在能繼位的...","N/A","NT$238 TWD"
"這世界很好，但你也不差：萬特特全新暖心作品","萬特特","富能量","**「不要讓任何人打敗你的自信，即使是被事實證明，你已經輸了的時候！」《這世界很煩，但你要很可愛》暢銷書作者萬特特年度最療癒的共感書寫光是愛自己不夠，你要信自己！****　　●誠品、博客來、金石堂、momo書店年度暢銷作家　　萬特特第一本照片散文集　　收錄作者手機攝影作品，與你分享彼時生活片段的真實與美好**　　這本書記錄了作者從二十歲到三十歲的女孩的窘迫、生動、無畏的經歷，涵蓋了生活、職場、感情和個人成長。　　首次討論原生家庭、嫉妒心等疼痛型敏感話題，以及關於「抑鬱」的情緒障礙，還有親人離世、前任復合、購置人生第一套房產的心理感受。　　裡面所有的故事，即便你抹掉時間、打亂編排，依然能在自己的生活裡時時遇見這些故事主角曾經歷過的心情。　　我們，就是他們。　　「我把那些和你情況差不多的年輕人遇到的生活問題，他們的遭遇、他們心裡的困惑糾結，以及最終的決定，都記錄了下來，然後送到你面前","⭐⭐⭐⭐½","NT$214 TWD"
"極端不確定性：為不可知的未來做決策","約翰‧凱","近未來","在充滿不確定性的時代，如何預測？如何決策？★本書入選2020年《金融時報》與麥肯錫最佳商業書★**　　※如果能預測未來趨勢，是否就能做出精準決策？**　　比爾蓋茲曾警告傳染病的威脅，無人理會；　　2020年COVID-19爆發，全球決策圈大混亂。　　數名基金經理人預見次貸風暴，市場依舊樂觀；　　2007-08年危機來襲，多家金融機構倒閉，造成經濟衰退。　　儘管統計數字顯示全球平均餘命延長，　　我們還是不知如何規劃自己的保險、投資與退休金。**　　※面對不確定性來襲，我們擔心一步錯，便滿盤皆輸。**　　好決策通常建立在對未知與風險的認識上，但現代決策者愈來愈常以機率表達他們的評估結果，但在充滿不確定性的時代，機率與統計數字更容易使決策者誤判。本書中對各類決策進行全面分析：從國家經濟決策到個人財務規劃；從賈伯斯開發新產品，到歐巴馬下令狙擊賓拉登。...","⭐⭐⭐⭐½","NT$476 TWD"
"我的職業是網路小說家","鄭穆尼","內容力","韓劇《雲畫的月光》、《語意錯誤》的起點就是網路小說！讓我們用網路小說賺錢吧，這是想以寫作謀生最可靠的方法！「你想成為作家？還是醒醒吧！」歡迎一直聽到這種碎唸的你，來到網路小說的世界。網路普及、人手一機的時代，看小說早已不用等紙書，上網付費就可以追連載小說，內容平台也因應而生。新的發表空間，滿足更多讀者的需求，想寫作的你不用再侷限於傳統出版，來當網路小說家吧！夢想成為網路小說家卻不知從何開始的你，只寫一章卻落入修改與刪除無限輪迴的你，有多渴望將作品寫好就有多害怕搞砸的你，不要再猶豫了！抱持著為讀者節省一秒鐘的誠意，韓國人氣作家鄭穆尼分享自己從一章網路小說都沒看過的門外漢，到成功轉型為職業作家的經驗談。她把自己在過程中所走過的歪路、嘗試過的錯誤全都寫進書裡，毫無保留地寫出一本最容易、也最能夠快速學習的寫作成功書！從作品誕生過程、讓點擊次數爆表的寫作技巧、零失敗率的簽約訣竅，到打造面對惡評的..","N/A","NT$294 TWD"
"乾隆的百寶箱：清宮寶藏與京城時尚","賴惠敏","另眼看歷史","晚明是由士大夫引導流行時尚，而清代是北京的宮廷領導流行！透過朝貢和貿易等途徑，大量異域文明的物質成果進入中國宮廷視野，當清宮收藏的舶來品亦通行於北京城市，宮廷的品味甚至影響到北京市民，在在證明乾隆不只是戰功赫赫的十全老人，更是十八世紀兼容中西時尚唯一頂流！●●●繼《滿大人的荷包》，中研院研究員賴惠敏教授又一結合貿易與歷史學術巨作，走入乾隆引領時尚的幕後，以數據考究清廷接受外來文化的擴散歷程！　　在近幾年流行的清宮劇中，因為強調場景、道具、佈景、服飾工藝的寫實和精緻，讀者對此並不陌生，甚至是倍感熟悉。然而這些清宮時尚是如何形成的？背後又有哪些力量的推動？　　如果把博物館的器物放在乾隆時代的經濟史脈絡來討論，北京的商鋪...","N/A","NT$455 TWD"
"時光機器【威爾斯科幻經典四部曲1】","赫伯特．喬治．威爾斯","威爾斯科幻經典四部曲","時間旅行可能嗎？科幻小說史上公認的神作，帶你進入八十萬年後的人類世界！聆聽本書，相當於同時閱讀霍金的《時間簡史》、《胡桃裡的宇宙》！全本讓您聲歷其境！國家電影及視聽文化中心董事長　藍祖蔚　親聲推薦：「如果真的有時光機器讓我們具有來回時間的能力時，我們的所作所為會為當代人產生多大的影響，如果不知節制使用這個巨大的能力時又會帶來什麼災難。」「我是生活在英國倫敦的科學家，我發明了一臺時光機器。時間旅行可能嗎？探索之前，沒有真相！我決定親身試驗。坐上時光機器，我來到了未來的西元八○二七○一年，眼前的景象太不可思議了……」威爾斯被譽為「科幻小說界的莎士比...","⭐⭐⭐⭐⭐","NT$277 TWD"
"被隱藏的眾神：一段在中東尋找古老智慧的旅程","傑拉德・羅素","認識中東","在美索不達米亞平原上，他們敬拜日月星辰、流動的水，向火獻祭，在強勢伊斯蘭的遮蔽下，默默守護人類最古老的智慧與不傳之秘！**　　八個垂危的信仰，見證了人類文明的衝突興衰，　　但也指向了和平共榮的可能。**　　今天人們對中東地區留有宗教迫害、族群衝突不斷等印象。但事實上，這片長年以伊斯蘭為主流宗教的土地仍庇護著許多獨樹一幟的少數宗教。它們有的在教義上徹底跳脫基督、猶太、伊斯蘭三大一神教的範疇，有的與它們一脈相承，卻另有與眾不同的教義與儀式。　　★曼達安教──巴比倫的後裔，生活在伊拉克偏遠地區，在出生時及結婚前後都要受洗。　　★雅茲迪教──生活在伊拉克北部，與庫德族比鄰而居，朝太陽敬拜，尊敬孔雀天使，禁穿藍色衣物。　　★祆教──曾是伊朗主流宗教，相信世界是善惡勢力鬥爭的戰場，透過火崇拜神，認為愛狗是義務。　　★德魯茲派──主要居於敘利亞，信仰融合畢達哥拉斯學說，但信仰內容保密到連信徒都搞不清楚。","⭐⭐⭐⭐⭐","NT$378 TWD"
"JUICY-好想戀愛的性感胸器 詹椀媗","Miao喵 Photography","JUICY","JUICY-好想戀愛的性感胸器 詹椀媗","N/A","NT$109 TWD"
"運動生理學：了解體育鍛鍊中的身體","Douglas Lacerda","N/A","運動生理學是一個專注於了解運動對人體影響的研究領域。此研究領域涵蓋人體的多個系統，包括心血管、呼吸、肌肉、神經、內分泌和免疫系統。當人體進行體能訓練時，會發生多種生理適應，影響身體的代謝和功能係統。例如，心血管系統透過增加心率、心輸出量和血壓來對運動做出反應，以便向正在運動的肌肉輸送更多的血液和氧氣。呼吸系統反過來會增加呼吸頻率和肺部通氣量，以增加對工作肌肉的氧氣供應。肌肉和骨骼系統也會因運動而產生適應。根據運動強度和相關肌肉中主要的肌纖維類型來招募肌纖維。此外，運動會導致肌肉結構和功能的變化，包括增加肌肉質量、提高肌肉力量和耐力以及降低受傷風險。其他系統也會受到運動的影響，例如調節肌肉活動和協調運動的神經系統，以及釋放影響新陳代謝、能量和組織修復的荷爾蒙的內分泌系統。免疫系統也會受到運動的影響，一些研究表明，適度的運動可以增強免疫力，降低感染傳染病的風險。總之","N/A","NT$361 TWD"
"大脑奥秘之旅","Douglas Lacerda","N/A","《大脑奥秘之旅：揭开神经科学的秘密》是一次深入人类思维的迷人旅程。这本书探讨了大脑的复杂性，大脑是宇宙中最强大、最神秘的器官，负责控制人类生活的各个方面，从感觉过程到思想和情感的形成。在整个旅程中，读者将发现大脑如何处理信息，如何创造记忆，如何调节情绪，以及如何让我们完成令人难以置信的壮举，例如创造艺术、进行复杂的计算和探索空间。这本书还揭露了一些关于大脑的神话，例如认为我们只使用了大脑的 10%，或者认为右侧与创造力相关而左侧与逻辑相关。此外，它还解决了一些有趣的问题，例如为什么我们经常不假思索地行事或与我们的欲望相悖，是否有可能控制自己的情绪，以及神经元如何进行交流。对于任何想要了解人类思维如何运作并解开神经科学秘密的人来说，《大脑之谜之旅》都是必读之作。","N/A","NT$361 TWD"
"天生不愛動：自然史和演化如何破除現代人關於運動與健康的12個迷思","丹尼爾‧李伯曼","N/A","**人類並未演化成愛運動，懶惰才符合人類的天性！當運動變得商品化和醫療化，我們對運動也變得更焦慮、更加愛恨交加，破解12個身體迷思，讓你徹底解除關於不運動的罪惡感。要活就要動，動與不動之間――哈佛大學人類演化學教授李柏曼最新鉅作**　　《天生就會跑》一書作者克里斯多福．麥杜格(Christopher McDougall)：　　「沒有人比李伯曼還要瞭解人類的身體！」　　當我們的生活方式越來越四體不動，導致肥胖率大幅攀升，帶來糖尿病、心血管疾病、癌症等各種現代疾病，活動量不足在全世界每年造成約五百三十萬人死亡，與死於吸菸的人相仿，卻仍有70%的成人表示自己閒暇時從不運動。　　如果運動真的對我們的健康有益，為什麼那麼多人不愛運動、無法堅持運動計畫、甚至逃避運動？　　本書作者丹尼爾‧李伯曼（Daniel Lieberman）是哈佛大學人類演化生物學教授，透過自然史和演化，帶領我們探討現代人久坐","⭐⭐⭐⭐","NT$480 TWD"
